"refID","ordem","txt.name","SiteCode","status","status_diagnostico","confiabilidade","method","state","arrangement","samples","effort_ha","dbh_cutoff","UC_area_ha","Unidade_de_conservacao","frag_area","forest_size","domain","forest_type","forest_subtype","forest_succession","forest_age","year_data","year","Ntotal","S_obs","tif.name","k","kernel_type","kernel_code","DA","dist_0","d","p","U"
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.00935379
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.00935379
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.0110903
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.0108272
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.0108272
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.010718
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.0105424
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.0105424
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.0107944
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.85,"laplace","2",945,3.25300024316178,1.66953021976196,0.858932677683572,0.0106094
